	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	51553.10497443133	90622811.50328209	-0.028369625281466904	-0.2304447055522945	-51553.104973404	-3.5688081534454596e-06	-1.216558705457231e-05	-0.9999999999196277	
	Epair	51710.65006624138	90460995.04803258	-0.028932262533012627	-0.23238588624740197	-51710.65006520109	-3.6287015227469864e-06	-1.2398902178947148e-05	-0.9999999999165465	
	Epair	51799.61342918098	90445381.176977	-0.029266767279884524	-0.23347747962037696	-51799.61342813336	-4.037958870291959e-06	-1.2233295997987066e-05	-0.9999999999170173	
	Epair	52225.67265992582	90443804.10543086	-0.030987021016868413	-0.2388434820902775	-52225.67265884093	-4.096567759032224e-06	-1.2738431178885759e-05	-0.9999999999104718	
	Epair	53183.59216655016	90427548.62228185	-0.03526335733324677	-0.2511224912116196	-53183.59216537702	-5.166319484078408e-06	-1.303630362313969e-05	-0.9999999999016785	
	Epair	53241.372658353	90425667.72982983	-0.035555253411799194	-0.2518776556535105	-53241.37265717419	-5.11443703897234e-06	-1.298725911375975e-05	-0.9999999999025834	
	Epair	54391.281221244186	90411446.75384593	-0.04149997807061606	-0.266734517361597	-54391.281219954035	-6.022394869474107e-06	-1.2903194497364512e-05	-0.9999999998986157	
	Epair	55607.71101940021	90405790.48192422	-0.04887870093880387	-0.28222423113562484	-55607.71101798905	-6.151294341623389e-06	-1.1604636919778499e-05	-0.9999999999137434	
	Epair	55718.449875477825	90403087.3882442	-0.0495618099479994	-0.2835386799671825	-55718.44987405676	-6.218247839297959e-06	-1.2051759676370536e-05	-0.9999999999080407	
	DeltaE	56094.262796003495	90401380.68239914	-0.05196120286740034	-0.2880514019614846	-56094.26279454767	-6.879409103186663e-06	-1.177471489760988e-05	-0.9999999999070113	
	Epair	56865.13979081449	90398384.04332578	-0.05833574260683167	-0.2974012188603337	-56865.13978927561	-8.175995852525902e-06	-1.225843993403076e-05	-0.9999999998914383	
	Epair	57157.943451421925	90395556.07971536	-0.060779263274209315	-0.3010280538280055	-57157.943449850376	-8.383760974326898e-06	-1.2195512383126754e-05	-0.9999999998904875	
	Epair	57183.07977970967	90394711.85792498	-0.0609890955897807	-0.30133716437232116	-57183.07977813535	-8.330817826955954e-06	-1.2302826053802702e-05	-0.9999999998896154	
